evaluation_policy,split_strategy,task_family,task_head,folds_combined,seeds,ensemble_seed_count,n,r2,rmse,mae,huber_loss,source_result
random_5fold_3seed,random_5fold,LOEC,LOEC_Reproduction,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,618,0.7597346306965072,0.8657473974355717,0.624621171215532,0.3040970573505734,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,NOEC,NOEC_Accumulation,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,81,0.6421853624683248,0.8272406036157294,0.6539090538190329,0.307927629046968,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,NOEC,NOEC_Behavior,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,64,0.841837069294702,0.9431368066714376,0.7316992441509365,0.3796940931166129,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,NOEC,NOEC_Biochemical,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,1067,0.8243440567359771,0.8146880785105816,0.5790828127994461,0.2678351485702822,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,NOEC,NOEC_Development,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,231,0.7211087293778209,0.8038157281806222,0.5312579863493596,0.2576498896902903,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,NOEC,NOEC_GeneticDamage,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,278,0.7646241526924931,0.8944502486421663,0.6475366901165264,0.3181200904959612,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,NOEC,NOEC_Growth,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,2401,0.7520874683356855,0.911482042905092,0.6579898577147157,0.3286400851130822,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,NOEC,NOEC_Injury,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,50,0.7561929099342739,0.9650736161730288,0.7220532152755061,0.386483271753044,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,NOEC,NOEC_Morphology,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,124,0.7313140801602716,0.8277988607760456,0.6101403500514424,0.2941694746033207,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,NOEC,NOEC_Mortality,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,296,0.785753198611102,0.7035852093477531,0.4685780761558627,0.2085583945229642,v1.2.16_random_split_3seed
